Scholarship Name,Description,Scholarship Type,Amount,Opening Date,Deadline,Status,Degree Level,URL
CM Punjab’s Honhaar Scholarship Program,RLKU states it “proudly joins” the Honhaar Scholarship Program.,need,0.0,2025-11-03,2025-12-08,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6934044c0c3e825b6380eb4d
Need-based scholarships-MY University,Financial Assistance to needy students who are currently enrolled in the university.,need,0.0,2025-10-06,2025-11-20,Expired,Bachelors,https://scholarbee.pk/scholarship-details/69144b940c3e825b637c8db6
Merit-based scholarships-MY University,MY University offers 100% tuition fee waiver in the form of merit scholarships on the basis of academic excellence in F.A/F.Sc. or Equivalent examinations held under the annual system of examination. ,merit,0.0,2025-10-06,2025-11-20,Expired,Bachelors,https://scholarbee.pk/scholarship-details/69144ace0c3e825b637c8c94
Kinship Discount-Comwave,Siblings studying in same university are entitled with Kinship Discoun.,merit,0.0,2025-09-10,2025-11-10,Expired,Bachelors,https://scholarbee.pk/scholarship-details/691220081d27cf3c1ae4000a
Need Based Discount-Comwave,The needy students currently enrolled in the University are awarded with need based assistance.,need,0.0,2025-08-04,2025-11-10,Expired,Bachelors,https://scholarbee.pk/scholarship-details/69121e641d27cf3c1ae3ffcd
Merit Based Scholarship-Comave,Higher Achievers are awarded with merit based scholarship.,merit,0.0,2025-08-04,2025-11-10,Expired,Bachelors,https://scholarbee.pk/scholarship-details/69121d761d27cf3c1ae3ff86
Honhaar Scholarships-NUTECH,"The Honhaar Undergraduate Scholarship Program by the Government of the Punjab, offers merit-based scholarships to the deserving outstanding students pursuing undergraduate degrees at leading universities and colleges. This program is designed to support high-achieving individuals with limited financial resources, empowering them to access quality education and excel in their academic careers. Scholarship scheme covers tuition fees of the students enabling them to focus on their studies.",merit,0.0,2025-07-07,2025-09-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/691170281d27cf3c1ae3c186
Scholarships for special students-Abasyn,The university believes in equal opportunity for every citizen and offers special scholarship for special students up to 50%. The purpose of this scholarship is to encourage such students so they can contribute equally to our society.,need,0.0,2025-06-30,2025-08-10,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68fe1520b0fd0de2955df8cd
Kinship Scholarship-Abasyn,"In order to facilitate families and to reduce their financial burden, kinship scholarship of 10% is offered to siblings throughout their complete academic program.",merit,0.0,2025-06-30,2025-08-10,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68fe1423b0fd0de2955df893
Need Based Scholarship-Abasyn,The need based scholarship is for students with special circumstances or financial constraints. The aim of this scholarship is to facilitate educational opportunities for needy students.,need,0.0,2025-06-30,2025-08-10,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68fe12feb0fd0de2955df7e8
Financial Need Cum Merit Basis-HITEC,"Financial Need Cum Merit Basis is a scholarship or financial aid model that considers both a student's demonstrated financial need and their academic or other achievements (merit). It is a holistic approach used to determine eligibility and the amount of aid awarded, ensuring that support goes to high-achieving students who also require financial assistance. ",need,0.0,2025-06-10,2025-08-25,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68fe0687b0fd0de2955df5f8
Honors List Scholarship,"The Honors List Scholarship at Namal University, Mianwali, is a merit-based scholarship awarded to students who demonstrate exceptional academic achievement in their intermediate or equivalent examinations. The scholarship aims to recognize and reward academic excellence by providing a 100% tuition fee waiver to the highest-achieving students in each program.",merit,0.0,2025-06-30,2025-07-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68fe06e0b0fd0de2955df673
Elite 90 Scholarship (High Achievers)-NAMAL,The Elite 90 Scholarship (High Achievers) are to pay other fees and charges as per university policy.,merit,0.0,2025-05-05,2025-07-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68fde212b0fd0de2955def18
Kamran Education Foundation Scholarship-DUET,The Financial Assistance Department (FAD) of DUET invites needy and deserving students to apply for a scholarship from the Kamran Educational Foundation (KEF). Students with a sound academic track record who are enrolled on merit seats are eligible to apply for this scholarship.,need,0.0,2025-01-10,2025-04-10,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68f78032b0fd0de2955d841a
Ehsaas Undergraduate Scholarship Program,The Ehsaas Undergraduate Scholarship is a national program for financially disadvantaged students to ensure equal access to higher education.,need,0.0,2025-05-05,2025-06-30,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68e394505d0e15198454b8b4
Khyber Pakhtunkhwa Education Foundation “Merit–cum–Inaffordability” Scholarship Scheme 2024–25,"This scholarship is designed to support meritorious but financially constrained students from Khyber Pakhtunkhwa enrolled in public sector universities, including the University of Swat.
The scholarship ensures that students with high academic performance but limited financial means can continue higher education without disruption.",merit,0.0,2025-01-06,2025-02-02,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68e38d065d0e15198454b5f3
