University,Program_Name,Degree_Level,School,Duration,Eligibility,Eligibility_Source_URL,Test_Required,Program_URL,First_Year_Total_Fee_PKR,Deadline_Source_URL,Application_Deadline
Lahore University of Management Sciences,MPhil Comparative Humanities,Masters,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/mphil-comparative-humanities,1750000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,"MPhil Society, Culture and Politics",Masters,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/mphil-society-culture-and-politics,1750000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Economics,Masters,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/ms-economics,1750000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,LL.M,Masters,Shaikh Ahmad Hassan School of Law,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/llm,2200000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,Executive MBA,Masters,Suleman Dawood School of Business,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GMAT,https://lums.edu.pk/programmes/executive-mba,2100000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MBA,Masters,Suleman Dawood School of Business,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GMAT,https://lums.edu.pk/programmes/mba,2100000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Financial Management,Masters,Suleman Dawood School of Business,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GMAT,https://lums.edu.pk/programmes/ms-financial-management,2100000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Healthcare Management and Innovation,Masters,Suleman Dawood School of Business,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GMAT,https://lums.edu.pk/programmes/ms-healthcare-management-and-innovation,2100000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Supply Chain and Retail Management,Masters,Suleman Dawood School of Business,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GMAT,https://lums.edu.pk/programmes/ms-supply-chain-and-retail-management,2100000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Technology Management and Entrepreneurship,Masters,Suleman Dawood School of Business,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GMAT,https://lums.edu.pk/programmes/ms-technology-management-and-entrepreneurship,2100000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,PhD Management,Masters,Suleman Dawood School of Business,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GMAT,https://lums.edu.pk/programmes/phd-management,2100000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MPhil Education Leadership and Management,Masters,Syed Ahsan Ali and Syed Maratib Ali School of Education,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GMAT,https://lums.edu.pk/programmes/mphil-education-leadership-and-management,0,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MPhil Education Leadership and Management - Weekend Track for Executives,Masters,Syed Ahsan Ali and Syed Maratib Ali School of Education,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GMAT,https://lums.edu.pk/programmes/mphil-education-leadership-and-management-weekend-track-executives,0,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Artificial Intelligence,Masters,Syed Babar Ali School of Science and Engineering,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/ms-artificial-intelligence,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Biology,Masters,Syed Babar Ali School of Science and Engineering,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/ms-biology,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Chemistry,Masters,Syed Babar Ali School of Science and Engineering,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/ms-chemistry,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Computer Science,Masters,Syed Babar Ali School of Science and Engineering,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/ms-computer-science,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Digital and Embedded Systems,Masters,Syed Babar Ali School of Science and Engineering,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/ms-digital-and-embedded-systems,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Electrical Engineering,Masters,Syed Babar Ali School of Science and Engineering,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/ms-electrical-engineering,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Mathematics,Masters,Syed Babar Ali School of Science and Engineering,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/ms-mathematics,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Physics,Masters,Syed Babar Ali School of Science and Engineering,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/ms-physics,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,MS Power Engineering and Smart Grids,Masters,Syed Babar Ali School of Science and Engineering,2 Years,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/ms-power-engineering-and-smart-grids,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,PhD Biology,Masters,Syed Babar Ali School of Science and Engineering,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/phd-biology,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,PhD Chemical and Environmental Engineering,Masters,Syed Babar Ali School of Science and Engineering,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/phd-chemical-and-environmental-engineering,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,PhD Chemistry,Masters,Syed Babar Ali School of Science and Engineering,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/phd-chemistry,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,PhD Computer Science,Masters,Syed Babar Ali School of Science and Engineering,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/phd-computer-science,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,PhD Electrical Engineering,Masters,Syed Babar Ali School of Science and Engineering,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/phd-electrical-engineering,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,PhD Mathematics,Masters,Syed Babar Ali School of Science and Engineering,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/phd-mathematics,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,PhD Physics,Masters,Syed Babar Ali School of Science and Engineering,Check program page,"Bachelor’s degree (16 years of education) from a recognized institution. Program-specific requirements may apply. Admission based on academic record, test scores (GRE/GMAT where applicable), and interview.",https://admission.lums.edu.pk/graduate,GRE,https://lums.edu.pk/programmes/phd-physics,1900000,https://admission.lums.edu.pk/graduate,14-Apr-26
Lahore University of Management Sciences,BA (Honours) Comparative Literature and Creative Arts (CLCA),Undergraduate,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/ba-honours-comparative-literature-and-creative-arts-clca,1600000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BA (Honours) English,Undergraduate,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/ba-honours-english,1600000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BA (Honours) History,Undergraduate,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/ba-honours-history,1600000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BSc (Honours) Anthropology / Sociology,Undergraduate,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bsc-honours-anthropology-sociology,1600000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BSc (Honours) Economics,Undergraduate,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bsc-honours-economics,1600000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BSc (Honours) Economics and Mathematics (Joint Major),Undergraduate,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bsc-honours-economics-and-mathematics-joint-major,1600000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,"BSc (Honours) Economics, Data and Computer Science (Joint Major)",Undergraduate,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bsc-honours-economics-data-and-computer-science-joint-major,1600000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BSc (Honours) Political Science,Undergraduate,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bsc-honours-political-science,1600000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BSc (Honours) Politics and Economics,Undergraduate,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bsc-honours-politics-and-economics,1600000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BSc (Honours) Psychology,Undergraduate,Mushtaq Ahmad Gurmani School of Humanities and Social Sciences,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bsc-honours-psychology,1600000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BA-LL.B (Honours),Undergraduate,Shaikh Ahmad Hassan School of Law,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/ba-llb-honours,1800000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BSc (Honours) Accounting and Finance,Undergraduate,Suleman Dawood School of Business,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bsc-honours-accounting-and-finance,1706860,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BSc (Honours) Management Science,Undergraduate,Suleman Dawood School of Business,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bsc-honours-management-science,1706860,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BS Biology,Undergraduate,Syed Babar Ali School of Science and Engineering,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bs-biology,1650000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
Lahore University of Management Sciences,BS Chemical Engineering,Undergraduate,Syed Babar Ali School of Science and Engineering,4 Years,Intermediate (FSc) / A-Levels / IB or equivalent. Program-specific subject requirements may apply. Admission based on academic record and SAT/ACT/LCAT.,https://admission.lums.edu.pk/undergraduate-programmes,SAT / ACT / LCAT,https://lums.edu.pk/programmes/bs-chemical-engineering,1650000,https://admission.lums.edu.pk/undergraduate-programmes,27-Jan-26
