university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Beaconhouse National University,Lahore,Mariam Dawood School of Visual Arts & Design,BS / Bachelor,Bachelor of Fine Arts in Visual Arts MDSVAD - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,Portfolio + Interview + Admission Test,300000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bachelor-of-fine-arts-in-visual-arts
Beaconhouse National University,Lahore,Mariam Dawood School of Visual Arts & Design,BS / Bachelor,"Bachelor of Design in Textile, Fashion & Accessories Design Specialization: Textile & Fibre MDSVAD - BNU",4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,Portfolio + Interview + Admission Test,300000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bachelor-of-design-in-textile-fashion-accessories-design-specialization-textile-fibre
Beaconhouse National University,Lahore,Mariam Dawood School of Visual Arts & Design,BS / Bachelor,"Bachelor of Design in Textile, Fashion & Accessories Design Specialization: Jewellery & Accessories  MDSVAD - BNU",4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,Portfolio + Interview + Admission Test,300000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bachelor-of-design-in-textile-fashion-accessories-design-specialization-jewellery-accessories-
Beaconhouse National University,Lahore,Mariam Dawood School of Visual Arts & Design,BS / Bachelor,"Bachelor of Design in Textile, Fashion & Accessories Design Specialization: Fashion MDSVAD - BNU",4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,Portfolio + Interview + Admission Test,300000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bachelor-of-design-in-textile-fashion-accessories-design-specialization-fashion
Beaconhouse National University,Lahore,Mariam Dawood School of Visual Arts & Design,BS / Bachelor,Bachelor of Design in Visual Communication Design MDSVAD - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,Portfolio + Interview + Admission Test,300000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bachelor-of-design-in-visual-communication-design
Beaconhouse National University,Lahore,Mariam Dawood School of Visual Arts & Design,BS / Bachelor,Bachelor of Arts (Hons) Interdisciplinary Expanded Design & Art MDSVAD - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,Portfolio + Interview + Admission Test,300000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bachelor-of-arts-hons-interdisciplinary-expanded-design-art
Beaconhouse National University,Lahore,Razia Hassan School of Architecture,BS / Bachelor,Bachelor of Architecture (B.Arch) RHSA - BNU,5 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,NATA + Interview,350000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bachelor-of-architecture-barch
Beaconhouse National University,Lahore,Razia Hassan School of Architecture,BS / Bachelor,Bachelor in Interior Design (BID) RHSA - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,Portfolio + Interview + Admission Test,300000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bachelor-in-interior-design
Beaconhouse National University,Lahore,School of Liberal Arts & Social Sciences,BS / Bachelor,BS in Liberal Arts & Social Sciences slass - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,170000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-in-liberal-arts-social-sciences
Beaconhouse National University,Lahore,Beaconhouse National University,BS / Bachelor,BS in Political Science slass - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,170000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-in-political-science
Beaconhouse National University,Lahore,School of Media & Communication,BS / Bachelor,"BS in Theatre, Film & TV SMC - BNU",4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,Portfolio + Interview + Admission Test,250000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-in-theatre-film-tv
Beaconhouse National University,Lahore,School of Media & Communication,BS / Bachelor,BS Journalism & Media Studies SMC - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,Portfolio + Interview + Admission Test,250000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-journalism-and-media-studies
Beaconhouse National University,Lahore,School of Media & Communication,BS / Bachelor,BS Communication and Immersive Media SMC - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,Portfolio + Interview + Admission Test,250000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-communication-and-immersive-media
Beaconhouse National University,Lahore,School of Computer & Information Technology,BS / Bachelor,BS Computer Science SCIT - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,200000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-computer-science
Beaconhouse National University,Lahore,School of Computer & Information Technology,BS / Bachelor,BS Management & Business Computing SCIT - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,200000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-management-business-computing
Beaconhouse National University,Lahore,School of Computer & Information Technology,BS / Bachelor,BS Software Engineering SCIT - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,200000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-software-engineering
Beaconhouse National University,Lahore,School of Computer & Information Technology,BS / Bachelor,Bachelor in Artificial Intelligence SCIT - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,200000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-artificial-intelligence
Beaconhouse National University,Lahore,School of Management Sciences,BS / Bachelor,BBA (Hons.) SMS - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,190000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bba-hons
Beaconhouse National University,Lahore,School of Management Sciences,BS / Bachelor,BS Business Intelligence and Analytics SMS - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,190000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-business-intelligence-and-analytics
Beaconhouse National University,Lahore,School of Management Sciences,BS / Bachelor,BS Hospitality Management SMS - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,190000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-hospitality-management
Beaconhouse National University,Lahore,School of Management Sciences,BS / Bachelor,BS Economics SMS - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,190000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-economics
Beaconhouse National University,Lahore,School of Management Sciences,BS / Bachelor,BS Economics and Finance SMS - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,190000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-economics-and-finance
Beaconhouse National University,Lahore,School of Management Sciences,BS / Bachelor,BS Economics With Data Science SMS - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,190000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-economics-with-data-science
Beaconhouse National University,Lahore,Institute of Psychology,BS / Bachelor,BS in Applied Psychology IP - BNU,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent. FA / FSc / ICS / ICom / A-Levels accepted. Architecture requires NATA. Media & Design programs require portfolio and interview.,BNU Admission Test + Interview,180000,15 August (Fall Intake),https://www.bnu.edu.pk/program/bs-in-applied-psychology
Beaconhouse National University,Lahore,School of Media & Communication,MS,MS Film & TV  SMC - BNU,2 Years,Minimum 16 years of education (BS / Bachelors) in relevant field with minimum 2.0 CGPA or equivalent. Entry test and interview required.,BNU Graduate Admission Test + Interview,280000,15 August (Fall Intake),https://www.bnu.edu.pk/program/ms-film-tv
Beaconhouse National University,Lahore,School of Media & Communication,MS,MS Public Relations & Advertising SMC - BNU,2 Years,Minimum 16 years of education (BS / Bachelors) in relevant field with minimum 2.0 CGPA or equivalent. Entry test and interview required.,BNU Graduate Admission Test + Interview,260000,15 August (Fall Intake),https://www.bnu.edu.pk/program/ms-public-relations-and-advertising
Beaconhouse National University,Lahore,Institute of Psychology,MS,MS Clinical and Counseling Psychology IP - BNU,2 Years,Minimum 16 years of education (BS / Bachelors) in relevant field with minimum 2.0 CGPA or equivalent. Entry test and interview required.,BNU Graduate Admission Test + Interview,250000,15 August (Fall Intake),https://www.bnu.edu.pk/program/ms-clinical-and-counseling-psychology
Sir Syed CASE Institute of Technology,Islamabad,Department of Computer Science,BS,BS Computer Science,4 Years,Minimum 50% marks in HSSC with Math or equivalent; remedial math courses if non-math background.,Admission Test (SS-CASE-IT / HAT / Equivalent),184000,13 January 2026,https://case.edu.pk/undergraduate-programs/bs-computer-science/
Sir Syed CASE Institute of Technology,Islamabad,Department of Computer Science,AD,AD Computer Science,2 Years,Minimum 50% marks in HSSC or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),150000,13 January 2026,https://case.edu.pk/undergraduate-programs/ad-computer-science/
Sir Syed CASE Institute of Technology,Islamabad,Department of Cyber Security,BS,BS Cyber Security,4 Years,Minimum 50% marks in HSSC with Math or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),184000,13 January 2026,https://case.edu.pk/undergraduate-programs/bs-cyber-security/
Sir Syed CASE Institute of Technology,Islamabad,Department of Artificial Intelligence,BS,BS Artificial Intelligence,4 Years,Minimum 50% marks in HSSC with Math or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),184000,13 January 2026,https://case.edu.pk/undergraduate-programs/bs-artificial-intelligence/
Sir Syed CASE Institute of Technology,Islamabad,Department of Artificial Intelligence and Data Science,BS,BS Data Science,4 Years,Minimum 50% marks in HSSC with Math or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),184000,13 January 2026,https://case.edu.pk/undergraduate-programs/bs-data-science/
Sir Syed CASE Institute of Technology,Islamabad,Department of Software Engineering,BS,BS Software Engineering,4 Years,Minimum 50% marks in HSSC with Math or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),184000,13 January 2026,https://case.edu.pk/undergraduate-programs/bs-software-engineering/
Sir Syed CASE Institute of Technology,Islamabad,Department of Business and Finance,BS,BS Business Administration,4 Years,Minimum 50% marks in HSSC or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),180000,13 January 2026,https://case.edu.pk/undergraduate-programs/bs-business-administration/
Sir Syed CASE Institute of Technology,Islamabad,Department of Business and Finance,BS,BS Accounting & Finance,4 Years,Minimum 50% marks in HSSC or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),180000,13 January 2026,https://case.edu.pk/undergraduate-programs/bs-accounting-finance/
Sir Syed CASE Institute of Technology,Islamabad,Department of Business and Finance,AD,AD Business Administration,2 Years,Minimum 50% marks in HSSC or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),150000,13 January 2026,https://case.edu.pk/undergraduate-programs/ad-business-administration/
Sir Syed CASE Institute of Technology,Islamabad,Department of Allied Health Sciences,BS,BS Medical Imaging Technology,4 Years,Minimum 50% marks in HSSC or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),190000,13 January 2026,https://case.edu.pk/undergraduate-programs/bs-medical-imaging-technology/
Sir Syed CASE Institute of Technology,Islamabad,Department of Allied Health Sciences,BS,BS Medical Laboratory Technology,4 Years,Minimum 50% marks in HSSC or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),190000,13 January 2026,https://case.edu.pk/undergraduate-programs/bs-medical-laboratory-technology/
Sir Syed CASE Institute of Technology,Islamabad,Department of Allied Health Sciences,DPT,Doctor of Physical Therapy,5 Years,Minimum 50% marks in HSSC or equivalent.,Admission Test (SS-CASE-IT / HAT / Equivalent),300000,13 January 2026,https://case.edu.pk/undergraduate-programs/doctor-of-physical-therapy-2/
Sir Syed CASE Institute of Technology,Islamabad,Department of Computer Science,MS,MS Computer Science,2 Years,16 years relevant education with 2.0 CGPA or 50% marks; test required.,Admission Test (SS-CASE-IT / HAT / Equivalent),260000,13 January 2026,https://case.edu.pk/graduate-programs/ms-computer-science/
Sir Syed CASE Institute of Technology,Islamabad,Department of Electrical Engineering,MS,MS Electrical Engineering,2 Years,16 years relevant education with 2.0 CGPA or 50% marks; test required.,Admission Test (SS-CASE-IT / HAT / Equivalent),260000,13 January 2026,https://case.edu.pk/graduate-programs/ms-electrical-engineering/
Sir Syed CASE Institute of Technology,Islamabad,Department of Engineering Management,MS,MS Engineering Management,2 Years,16 years relevant education with 2.0 CGPA or 50% marks; test required.,Admission Test (SS-CASE-IT / HAT / Equivalent),260000,13 January 2026,https://case.edu.pk/graduate-programs/ms-engineering-management/
Sir Syed CASE Institute of Technology,Islamabad,Department of Engineering Management,MS,MS Project Management,2 Years,16 years relevant education with 2.0 CGPA or 50% marks; test required.,Admission Test (SS-CASE-IT / HAT / Equivalent),260000,13 January 2026,https://case.edu.pk/graduate-programs/ms-project-management/
Sir Syed CASE Institute of Technology,Islamabad,Department of Sciences and Humanities,MS,MS Mathematics,2 Years,16 years relevant education with 2.0 CGPA or 50% marks; test required.,Admission Test (SS-CASE-IT / HAT / Equivalent),260000,13 January 2026,https://case.edu.pk/graduate-programs/ms-mathematics/
Sir Syed CASE Institute of Technology,Islamabad,Department of Business and Finance,MS,MS Management,2 Years,16 years relevant education with 2.0 CGPA or 50% marks; test required.,Admission Test (SS-CASE-IT / HAT / Equivalent),260000,13 January 2026,https://case.edu.pk/graduate-programs/m-s-m/
Sir Syed CASE Institute of Technology,Islamabad,Department of Electrical Engineering,PhD,PhD Electrical Engineering,3–5 Years,"MS/MPhil (18 years), CGPA ≥3.0 or 60%, test ≥60%, supervisor consent.",Admission Test (SS-CASE-IT / HAT / Equivalent),320000,13 January 2026,https://case.edu.pk/graduate-programs/phd-programs/
Sir Syed CASE Institute of Technology,Islamabad,Department of Engineering Management,PhD,PhD Engineering Management,3–5 Years,"MS/MPhil (18 years), CGPA ≥3.0 or 60%, test ≥60%, supervisor consent.",Admission Test (SS-CASE-IT / HAT / Equivalent),320000,13 January 2026,https://case.edu.pk/graduate-programs/phd-programs/
Forman Christian College (Chartered University),Lahore,Faculty of Natural Sciences,BS / Bachelor,Bachelor of Studies in Biotechnology,4 Years,Minimum 50% marks in HSSC / A-Levels / Equivalent.,FCCU Admission Test + Interview,570000,August (Fall Intake),https://www.fccollege.edu.pk/academics/
