University,City,Degree_Level,School,Program_Name,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
Aga Khan University,Karachi,Undergraduate,Medical College,Bachelor of Medicine & Bachelor of Surgery (MBBS),5 Years,FSc (Pre-Medical) / A-Levels,AKU MCAT + Interview,650000,"March 31, 2026",https://www.aku.edu/admissions/mbbs/Pages/home.aspx
Aga Khan University,Karachi,Undergraduate,Faculty of Arts & Sciences,Bachelor of Studies (BS),4 Years,Intermediate / A-Levels (relevant discipline),AKU Admission Test + Interview,300000,"March 31, 2026",https://www.aku.edu/admissions/bs/Pages/home.aspx
Aga Khan University,Karachi,Undergraduate,School of Nursing & Midwifery,Associate of Science in Dental Hygiene (ASDH),2 Years,Intermediate / A-Levels (relevant discipline),AKU Admission Test + Interview,180000,"March 31, 2026",https://www.aku.edu/admissions/asdh/Pages/home.aspx
Aga Khan University,Karachi,Undergraduate,School of Nursing & Midwifery,Post-RN Bachelor of Science in Nursing (BScN),2 Years,Intermediate / A-Levels (relevant discipline),AKU Admission Test + Interview,200000,"March 31, 2026",https://www.aku.edu/admissions/post-rnbscn/Pages/home.aspx
Aga Khan University,Karachi,Undergraduate,School of Nursing & Midwifery,Post-RM Bachelor of Science in Midwifery,2 Years,Intermediate / A-Levels (relevant discipline),AKU Admission Test + Interview,200000,"March 31, 2026",https://www.aku.edu/admissions/post-rmbscm/Pages/home.aspx
Aga Khan University,Karachi,Undergraduate,Institute for Educational Development (IED),Bachelor of Education (BEd),4 Years,Intermediate / A-Levels (relevant discipline),AKU Admission Test + Interview,180000,"March 31, 2026",https://www.aku.edu/admissions/bed/Pages/home.aspx
Aga Khan University,Karachi,Graduate (MS/MEd),Institute for Educational Development (IED),Master of Education (MEd),2 Years,16–18 years of education (relevant discipline),AKU Admission Test + Interview,250000,"April 30, 2026",https://www.aku.edu/admissions/Pages/graduate.aspx
Aga Khan University,Karachi,Graduate (MPhil),Institute for Educational Development (IED),Master of Philosophy in Education (MPhil Education),2 Years,16–18 years of education (relevant discipline),AKU Admission Test + Interview,275000,"April 30, 2026",https://www.aku.edu/admissions/mphil-education/Pages/home.aspx
Aga Khan University,Karachi,Graduate (PhD),Institute for Educational Development (IED),Doctor of Philosophy in Education (PhD Education),3–5 Years,MPhil / MS (Education or relevant discipline),Research Proposal + Interview,300000,"April 30, 2026",https://www.aku.edu/admissions/phd-education/Pages/home.aspx
Aga Khan University,Karachi,Graduate (MS/MEd),Medical College / Medical Education,Master of Education in Medical Education (MHPE),2 Years,16–18 years of education (relevant discipline),AKU Admission Test + Interview,250000,"April 30, 2026",https://www.aku.edu/admissions/med/Pages/home.aspx
