Institute,City,Faculty,Department,Degree,Program,Eligibility Criteria,Test Required,Fee (PKR),Fee Type,Fee URL,Program URL,Application Deadline
International Islamic University Islamabad,Islamabad,Computing and Information Technology,Computer Science,BS,BS Computer Science,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/computing/department-of-computer-science/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Computing and Information Technology,Computer Science,MS,MS Computer Science,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/computing/department-of-computer-science/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Computing and Information Technology,Computer Science,PhD,PhD Computer Science,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/computing/department-of-computer-science/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Computing and Information Technology,Software Engineering,BS,BS Software Engineering,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/computing/software-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Computing and Information Technology,Software Engineering,MS,MS Software Engineering,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/computing/software-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Computing and Information Technology,Software Engineering,PhD,PhD Software Engineering,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/computing/software-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Education,Educational Leadership & Management,BS,BS Programs in Educational Leadership and Management,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/faculty-of-education/educational-leadership-management/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Education,Educational Leadership & Management,MS,MS Educational Leadership & Management,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/faculty-of-education/educational-leadership-management/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Education,Educational Leadership & Management,MS,MS Research Abstracts,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/faculty-of-education/educational-leadership-management/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Education,Educational Leadership & Management,PhD,"PhD
Useful References","18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/faculty-of-education/educational-leadership-management/,12 Feb 2026
