Institute,City,Degree,Faculty,Department,Program,Locations,Duration,Eligibility Criteria,Test Required,Fee (PKR),Fee Type,Fee URL,Program URL,Application Deadline
Riphah International University,Islamabad,BS,Faculty of Computing (FC),"Riphah School of Computing & Innovation (RSCI), Riphah Institute of Informatics (RII)",BS Software Engineering (BSSE),"Raiwind Campus (Lahore), I-14 Campus (Islamabad), Gulberg Green Campus (Islamabad), Malakand Campus (Malakand)",4 Years (8 Semesters) / 136 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Computing (FC),"Riphah Institute of Informatics (RII), Riphah School of Computing & Innovation (RSCI)",BS Computer Science (BSCS),"I-14 Campus (Islamabad), Gulberg Green Campus (Islamabad), Raiwind Campus (Lahore), Malakand Campus (Malakand)",4 Years (8 Semesters) / 136 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Computing (FC),"Riphah Institute of Informatics (RII), Riphah School of Computing & Innovation (RSCI)",BS Cyber Security (BS CySec),"I-14 Campus (Islamabad), Gulberg Green Campus (Islamabad), Raiwind Campus (Lahore)",4 Years (8 Semesters) / 136 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Computing (FC),"Riphah Institute of Informatics (RII), Riphah School of Computing & Innovation (RSCI)",BS Data Science (BSDS),"I-14 Campus (Islamabad), Raiwind Campus (Lahore)",4 Years (8 Semesters) / 136 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Computing (FC),"Riphah Institute of Informatics (RII), Riphah School of Computing & Innovation (RSCI)",BS Artificial Intelligence (BSAI),"I-14 Campus (Islamabad), Raiwind Campus (Lahore), Gulberg Green Campus (Islamabad)",4 Years (8 Semesters) / 136 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Computing (FC),Riphah Institute of Informatics (RII),Bachelor in Computer Arts (BCA),Gulberg Green Campus (Islamabad),4 Years (8 Semesters) / 130 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Engineering & Applied Science (FEAS),"Islamic International Engineering College (IIEC), Riphah College of Science and Technology (RCST)",B.Sc. Electrical Engineering (EE),"I-14 Campus (Islamabad), Gulberg Campus (Lahore)",4 Years / 136 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Engineering & Applied Science (FEAS),"Islamic International Engineering College (IIEC), Riphah College of Science and Technology (RCST)",B.Sc Biomedical Engineering (B.Sc-BME),"I-14 Campus (Islamabad), Gulberg Campus (Lahore)",8 Semesters / 138 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,180000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Engineering & Applied Science (FEAS),"Islamic International Engineering College (IIEC), Riphah College of Science and Technology (RCST)",BS Computer Systems (BS CSy),"I-14 Campus (Islamabad), Raiwind Campus (Lahore), Gulberg Campus (Lahore)",4 Years / 137 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Engineering & Applied Science (FEAS),"Islamic International Engineering College (IIEC), Riphah College of Science and Technology (RCST)",BS Robotics & Intelligent Systems (BS-RIS),"I-14 Campus (Islamabad), Raiwind Campus (Lahore), Gulberg Campus (Lahore)",4 Years / 136 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
