Institute,City,Degree,Program,Duration,Eligibility,Admission Test,Fee (PKR per semester),Fee URL,Program URL,Admission Deadline
Information Technology University,Lahore,BS,Bs Economics With Data Science,4 Years (8 Semesters),"HSSC / A-Levels (12 years education) with Mathematics where required, minimum 50% marks, IBCC equivalence required for foreign qualifications",ITU Admission Test OR SAT / NTS (as exemption),175000,https://itu.edu.pk/admissions/fee-structure/,https://itu.edu.pk/admissions/bs-economics-with-data-science/,December 2025
Information Technology University,Lahore,BS,Bs Computer Engineering,4 Years (8 Semesters),"HSSC / A-Levels (12 years education) with Mathematics where required, minimum 50% marks, IBCC equivalence required for foreign qualifications",ITU Admission Test OR SAT / NTS (as exemption),175000,https://itu.edu.pk/admissions/fee-structure/,https://itu.edu.pk/admissions/bs-computer-engineering/,December 2025
Information Technology University,Lahore,BS,Bs Computer Science,4 Years (8 Semesters),"HSSC / A-Levels (12 years education) with Mathematics where required, minimum 50% marks, IBCC equivalence required for foreign qualifications",ITU Admission Test OR SAT / NTS (as exemption),175000,https://itu.edu.pk/admissions/fee-structure/,https://itu.edu.pk/admissions/bs-computer-science/,December 2025
Information Technology University,Lahore,BS,Bs Electrical Engineering,4 Years (8 Semesters),"HSSC / A-Levels (12 years education) with Mathematics where required, minimum 50% marks, IBCC equivalence required for foreign qualifications",ITU Admission Test OR SAT / NTS (as exemption),175000,https://itu.edu.pk/admissions/fee-structure/,https://itu.edu.pk/admissions/bs-electrical-engineering/,December 2025
Information Technology University,Lahore,BS,Bs Financial Technology,4 Years (8 Semesters),"HSSC / A-Levels (12 years education) with Mathematics where required, minimum 50% marks, IBCC equivalence required for foreign qualifications",ITU Admission Test OR SAT / NTS (as exemption),175000,https://itu.edu.pk/admissions/fee-structure/,https://itu.edu.pk/admissions/bs-financial-technology/,December 2025
Information Technology University,Lahore,BS,Bs Management And Technology,4 Years (8 Semesters),"HSSC / A-Levels (12 years education) with Mathematics where required, minimum 50% marks, IBCC equivalence required for foreign qualifications",ITU Admission Test OR SAT / NTS (as exemption),175000,https://itu.edu.pk/admissions/fee-structure/,https://itu.edu.pk/admissions/bs-management-and-technology/,December 2025
Information Technology University,Lahore,BS,Bs Software Engineering,4 Years (8 Semesters),"HSSC / A-Levels (12 years education) with Mathematics where required, minimum 50% marks, IBCC equivalence required for foreign qualifications",ITU Admission Test OR SAT / NTS (as exemption),175000,https://itu.edu.pk/admissions/fee-structure/,https://itu.edu.pk/admissions/bs-software-engineering/,December 2025
Information Technology University,Lahore,BS,Bs Artificial Intelligence,4 Years (8 Semesters),"HSSC / A-Levels (12 years education) with Mathematics where required, minimum 50% marks, IBCC equivalence required for foreign qualifications",ITU Admission Test OR SAT / NTS (as exemption),175000,https://itu.edu.pk/admissions/fee-structure/,https://itu.edu.pk/admissions/bs-artificial-intelligence/,December 2025
Information Technology University,Lahore,EXECUTIVE,Executive Mba (Emba),2 Years,"Bachelor’s degree, work experience preferred, interview mandatory",Assessment Test and Interview,250000,https://itu.edu.pk/admissions/fee-structure/,https://itu.edu.pk/admissions/ms-executive-mba/,December 2025
Information Technology University,Lahore,MS,"Ms Development Studies: Development, Technology And Policy",2 Years (4 Semesters),"16 years education from HEC recognized university in relevant discipline, minimum CGPA 2.5 / 4.0",GAT / ITU Admission Test and Interview,190000,https://itu.edu.pk/admissions/fee-structure/,https://itu.edu.pk/admissions/ms-development-studies/,December 2025
