Institute,City,Campus,Degree,Program,Duration,Eligibility Criteria,Test Requirement,Fee (PKR),Fee Type,Apply Deadline (2026),Program URL
National University of Modern Languages,Islamabad,Main Campus,BS,B.Ed (Hons.) 4 Year,4 Year,Eligibility: FA / F.Sc with 45% marks OR Equivalent. Courses: S.No Course Code Subject Credit Hours 1 ESIS-411 Islamic Studiers / Ethics 02 2 ESFE-412 Functional English-I 3 3 ESES-413 Introduction to Environmental Sciences 3 4 ESUD-431 Urdu 3 5 ESFE-441 Foundations of Education 3 6 ESDE-442 Development of Education in Pakistan 3 7 ESGM-414 General Mathematics 3 8 ESQA-415 Quantitative/Analytical ,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/257
National University of Modern Languages,Islamabad,Main Campus,BS,B.Ed (Bridging),4 Year,"Eligibility: Bachelor’s Degree with 45% marks. Candidates having studied the relevant subject at BA / BSc level will be preferred . National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 20",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/341
National University of Modern Languages,Islamabad,Main Campus,BS,BS Early Childhood Care And Education,4 Year,Eligibility: Intermediate with 45% marks OR A-Level with 50% marks OR Equivalent Courses: S.No Course Code Subject Credit Hours 1 ESIS-411 Islamic Studies / Ethics 02 2 ESEN-412 Functional English-I 03 3 ESIE-413 Applications of Instructional and Communication Technologies 03 4 ESCD - 441 Child Growth and Development 03 5 ESPE - 442 Philosophical Foundations of Early Childhood Education 03 6 ESIE ,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/361
National University of Modern Languages,Islamabad,Main Campus,BS,B.Ed 1.5 Year,4 Year,Eligibility: MA / MSc with 45% marks. Courses: S.No Course Code Subject Credit Hours 1 ESTW-511 Technical Writing and Presentation Skills 03 2 ESIT-512 Instructional and Communication Technologies (ICT) in Education 03 3 ESQA-513 Quantitative/Analytical Reasoning 03 4 ESFE-541 Foundation of Education 03 5 ESMT-542 General Methods of Teaching 03 6 ESCD-543 Curriculum Development 03 7 ESEN-544 Engli,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/362
National University of Modern Languages,Islamabad,Main Campus,BS,BS Health And Physical Education,4 Year,Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent Courses: S.No Course Code Subject Credit Hours 1 ESIS - 411 Islamic Studies / Ethics 02 2 ESEN - 412 Functional English-I 03 3 ESES - 413 Everyday Science 03 4 ESRM - 441 Role of Media in Sports 03 5 ESTI - 442 Talent Identification in Sports 03 6 ESPE - 443 Philosophical Foundations of Physical Education 03 7 ESQA ,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/400
National University of Modern Languages,Islamabad,Main Campus,BS,BS Educational Leadership And Management,4 Year,Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent Courses: S.No Course Code Subject Credit Hours 1 ESIS-411 Islamic Studies / Ethics 02 2 ESEN-412 Functional English-I 03 3 ESIE-413 Applications of Instructional and Communication Technologies 03 4 ESLM-441 Fundamentals of Leadership and Management 03 5 ESSS-442 School Supervision 03 6 ESEP-443 Basic Concepts in Edu,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/401
National University of Modern Languages,Islamabad,Main Campus,BS,BS Special Education,4 Year,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/538
National University of Modern Languages,Islamabad,Main Campus,BS,BS Ed (Hons),4 Year,"Eligibility: FSc with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islamabad. ",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/539
National University of Modern Languages,Islamabad,Main Campus,BS,BS International Relations,,Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. Courses: S.No Course Code Subject Credit Hours 1 IRFN-101 Functional English 03 2 IRPM-142 Introduction to Geography 03 3 IRMT-103 Basic Mathematics 03 4 IRIR-141 Introduction to International Relations 03 5 IRCC-117 Civic and Community Engagement 03 6 IRPS-122 Introduction to Political Science 03 7 IREN-104 Englis,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/252
National University of Modern Languages,Islamabad,Main Campus,BS,BS Peace & Conflict Studies,,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/262
National University of Modern Languages,Islamabad,Main Campus,BS,BS Peace & Conflict Studies (Bridging),,"Eligibility: Bachelor’s Degree with 45% marks. Candidates having studied the relevant subject at BA / BSc level will be preferred. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 202",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/338
National University of Modern Languages,Islamabad,Main Campus,BS,BS Media & Communication Studies,,Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. Courses: S.No Course Code Subject Credit Hours 1 MCIS-105 Islamic Studies/Ethics 3 2 MCCS-101 Communication Skills 3 3 MCIM-121 Introduction to Mass Communication 3 4 MCIT-111 Fundamentals of ICT 3 5 MCSP-112 Social Psychology 3 6 MCMS-114 Mathematics 3 7 MCMP-122 Mass Media in Pakistan 3 8 MCEL-102 English Literat,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/258
National University of Modern Languages,Islamabad,Main Campus,BS,BS - History,,"Eligibility: Intermediate FA/HSSC /FS.c/ A-Leavel National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islamabad. Privacy Policy Admission ",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/440
National University of Modern Languages,Islamabad,Main Campus,BS,BS Pakistan Studies,4 Year,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/234
National University of Modern Languages,Islamabad,Main Campus,BS,BS Pakistan Studies (Bridging),,"Eligibility: Bachelor’s Degree with 45% marks. Candidates having studied the relevant subject at BA / BSc level will be preferred. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 202",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/340
National University of Modern Languages,Islamabad,Main Campus,BS,BS History,,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Isl",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/402
National University of Modern Languages,Islamabad,Main Campus,BS,BS Islamic Studies,,Eligibility: -Intermediate with 45% marks -O /A – Level with 50% marks OR Equivalent. Courses: S.No Course Code Subject Credit Hours 1 ISIS-111 Islamic studies/ basic Islamic discipline (G) 03 2 ISFE-112 Functional English 03 3 ISMC-115 Intro to Media Communication 03 4 ISTQ-141 Tajweed lugat-ul Quran (M) 03 5 ISAL-142 Basics of Arabic language (M) 03 6 ISQR214 Islamic Arts and Humanities 03 7 ISI,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/202
National University of Modern Languages,Islamabad,Main Campus,BS,BS Islamic Studies (Bridging),,Eligibility: Bachelor’s Degree with 45% marks. Candidates having studied the relevant subject at BA / BSc level will be preferred. Courses: S.No Course Code Subject Credit Hours 1 ISAL-506 Arabic Language 03 2 ISBC-507 Basic Contents of Islamic Studies 03 3 ISIC-303 Introduction to Computer 03 4 ISMT-509 Mathematics 03 5 ISTQ-121 Tajweed-Ul-Quran 03 6 ISHT-629 History of Tafseer 03 7 ISWR-646 Intr,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/339
National University of Modern Languages,Islamabad,Main Campus,BS,Associate Degree In Islamic Studies,,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/542
